,index,venue,type,start_date_time,title,price,ticket_url
95,46,studiok,Bioscoop,2023-08-09 20:40:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
96,47,studiok,Bioscoop,2023-08-09 21:15:00,Barbie,12,https://studio-k.nu/film/barbie/
97,48,studiok,Bioscoop,2023-08-09 21:30:00,Woman in the Dunes (1964) • TALES FROM THE DESERT,12,https://studio-k.nu/film/woman-in-the-dunes-1964-tales-from-the-desert/
98,49,studiok,Bioscoop,2023-08-12 16:40:00,La Piscine (1969) • TALES FROM THE DESERT,12,https://studio-k.nu/film/la-piscine-1969-tales-from-the-desert/
99,0,paradiso,Concert,2023-08-03T18:00:00+02:00,Dekmantel Festival aan 't IJ,30,http://www.paradiso.nl/program/dekmantel-festival-aan-t-ij/1305852
100,1,paradiso,Concert,2023-08-04T17:00:00+02:00,GARDEN by Day x OISHĪ'S TAKE OVER CELEBRATING PRIDE,30,http://www.paradiso.nl/program/garden-by-day-x-oishis-takeover-celebrating-pride-context/1307616
101,2,paradiso,Concert,2023-08-04T19:30:00+02:00,The Road Gone Mad,30,http://www.paradiso.nl/program/the-road-gone-mad/1306167
102,3,paradiso,Concert,2023-08-04T22:00:00+02:00,WaveCave,30,http://www.paradiso.nl/program/wave-cave/1220096
103,4,paradiso,Concert,2023-08-04T22:00:00+02:00,We Love 80s,30,http://www.paradiso.nl/program/we-love-80s/1220100
104,5,paradiso,Concert,2023-08-04T23:00:00+02:00,GARDEN by Night x OISHĪ'S TAKE OVER CELEBRATING PRIDE,30,http://www.paradiso.nl/program/garden-by-night-x-oishis-take-over-celebrating-pride/1306241
105,6,paradiso,Concert,2023-08-05T23:00:00+02:00,FPQ <3 Mother Earth,30,http://www.paradiso.nl/program/fpq-3-planet-earth/1081476
106,7,paradiso,Concert,2023-08-05T23:00:00+02:00,Bixaria,30,http://www.paradiso.nl/program/bixaria/1219755
107,8,paradiso,Concert,2023-08-06T15:00:00+02:00,Rapido - Pride Edition 2023,30,http://www.paradiso.nl/program/rapido-pride-edition-2023/1081516
108,9,paradiso,Concert,2023-08-06T19:30:00+02:00,ricciotti ensemble - plan de campagne,30,http://www.paradiso.nl/program/ricciotti-ensemble-plan-de-campagne/1219349
109,10,paradiso,Concert,2023-08-07T19:30:00+02:00,Protomartyr,30,http://www.paradiso.nl/program/protomartyr/526295
110,11,paradiso,Concert,2023-08-08T19:30:00+02:00,Dollhouse,30,http://www.paradiso.nl/program/dollhouse/1299795
111,12,paradiso,Concert,2023-08-11T17:00:00+02:00,Garden By Day,30,http://www.paradiso.nl/program/garden-by-day/1307740
112,13,paradiso,Concert,2023-08-11T23:00:00+02:00,Disco Tropicana,30,http://www.paradiso.nl/program/disco-tropicana/1218619
113,14,paradiso,Concert,2023-08-12T19:00:00+02:00,Buggin' Out,30,http://www.paradiso.nl/program/buggin-out/1066128
114,15,paradiso,Concert,2023-08-12T21:00:00+02:00,Pride is Not Over: Sneakout,30,http://www.paradiso.nl/program/sneakout/1124704
115,16,paradiso,Concert,2023-08-13T20:30:00+02:00,Pusha T,30,http://www.paradiso.nl/program/pusha-t/1059145
116,17,paradiso,Concert,2023-08-14T19:30:00+02:00,Kelela,30,http://www.paradiso.nl/program/kelela/711228
117,18,paradiso,Concert,2023-08-15T20:30:00+02:00,Pusha T,30,http://www.paradiso.nl/program/pusha-t/1059147
