,index,start_date_time,title,price,ticket_url,type,venue
52,52,2023-09-16T14:15:00+02:00,George Benjamin conducts Benjamin and Ligeti,39.5,https://www.concertgebouw.nl/en/concerts/2614829-george-benjamin-conducts-benjamin-and-ligeti,Concert,concertgebouw
53,53,2023-09-16T20:15:00+02:00,Matteo Myderwyk,19.0,https://www.concertgebouw.nl/en/concerts/2637170-matteo-myderwyk,Concert,concertgebouw
54,54,2023-09-16T20:15:00+02:00,Ravel's Piano Concerto with Daniel Ciobanu,19.0,https://www.concertgebouw.nl/en/concerts/2612300-ravels-piano-concerto-with-daniel-ciobanu,Concert,concertgebouw
55,55,2023-09-17T11:00:00+02:00,Karina Canellakis conducts Rachmaninoff's The Bells,21.0,https://www.concertgebouw.nl/en/concerts/2631811-karina-canellakis-conducts-rachmaninoffs-the-bells,Concert,concertgebouw
56,56,2023-09-17T14:15:00+02:00,Klaus Mäkelä conducts Mahler's Symphony No. 3,29.0,https://www.concertgebouw.nl/en/concerts/3109810-klaus-mäkelä-conducts-mahlers-symphony-no-3,Concert,concertgebouw
57,57,2023-09-18T20:15:00+02:00,Stanislav Kochanovsky & Daniel Ciobanu in Ravel and Gershwin,28.0,https://www.concertgebouw.nl/en/concerts/2634539-stanislav-kochanovsky-daniel-ciobanu-in-ravel-and-gershwin,Concert,concertgebouw
58,58,2023-09-19T20:15:00+02:00,Gram Parsons 50th Memorial,29.0,https://www.concertgebouw.nl/en/concerts/2612517-gram-parsons-50th-memorial,Concert,concertgebouw
59,59,2023-09-20T09:30:00+02:00,Vriendenrepetitie: Klaus Mäkelä & Yuja Wang with the Concertgebouw Orchestra,17.5,https://www.concertgebouw.nl/en/concerts/3189574-vriendenrepetitie-klaus-mäkelä-yuja-wang-with-the-concertgebouw-orchestra,Concert,concertgebouw
60,60,2023-09-20T12:30:00+02:00,Free Lunchtime Concert,0.0,https://www.concertgebouw.nl/en/concerts/3298762-free-lunchtime-concert,Concert,concertgebouw
61,61,2023-09-20T20:15:00+02:00,Klaus Mäkelä & Yuja Wang with the Concertgebouw Orchestra,29.0,https://www.concertgebouw.nl/en/concerts/3109811-klaus-mäkelä-yuja-wang-with-the-concertgebouw-orchestra,Concert,concertgebouw
62,62,2023-09-20T20:30:00+02:00,Bendik Giske,25.0,https://www.concertgebouw.nl/en/concerts/3104087-bendik-giske,Concert,concertgebouw
63,63,2023-09-21T20:15:00+02:00,MinJung Baek Debut Piano Recital,26.0,https://www.concertgebouw.nl/en/concerts/3464529-min-jung-baek-debut-piano-recital,Concert,concertgebouw
64,64,2023-09-21T20:15:00+02:00,Klaus Mäkelä & Yuja Wang with the Concertgebouw Orchestra,29.0,https://www.concertgebouw.nl/en/concerts/3109812-klaus-mäkelä-yuja-wang-with-the-concertgebouw-orchestra,Concert,concertgebouw
65,65,2023-09-23T14:15:00+02:00,Chin's Piano Concerto & Stravinsky's The Rite of Spring,39.5,https://www.concertgebouw.nl/en/concerts/2613553-chins-piano-concerto-stravinskys-the-rite-of-spring,Concert,concertgebouw
66,66,2023-09-23T20:15:00+02:00,Dutch Jazz Heritage: Tribute to Dutch Jazz Divas with Fay Claassen,35.0,https://www.concertgebouw.nl/en/concerts/2617658-dutch-jazz-heritage-tribute-to-dutch-jazz-divas-with-fay-claassen,Concert,concertgebouw
67,67,2023-09-24T11:00:00+02:00,Italian Opera Classics with Pretty Yende,21.0,https://www.concertgebouw.nl/en/concerts/2631812-italian-opera-classics-with-pretty-yende,Concert,concertgebouw
68,68,2023-09-26T20:15:00+02:00,Elvis Costello & Steve Nieve In Concert,55.0,https://www.concertgebouw.nl/en/concerts/2635992-elvis-costello-steve-nieve-in-concert,Concert,concertgebouw
69,69,2023-09-26T20:15:00+02:00,Scherpdenkers: Mpho Tutu & Pete Letanka - Crossing the waters,27.0,https://www.concertgebouw.nl/en/concerts/2617660-scherpdenkers-mpho-tutu-pete-letanka-crossing-the-waters,Concert,concertgebouw
